# Escherichia_coli
CDOECKAM_00001	K00633
CDOECKAM_01380	K01876
CDOECKAM_01383	K07136
CDOECKAM_01384	K15256
CDOECKAM_01385	K15257
CDOECKAM_01386	K07812
CDOECKAM_01387	K07821
CDOECKAM_01388	K06201
CDOECKAM_01390	K01887
CDOECKAM_01391	K03516
CDOECKAM_01392	K02400
CDOECKAM_01393	K02400
CDOECKAM_01394	K02401
CDOECKAM_01396	K03413
CDOECKAM_01397	K03412
CDOECKAM_01398	K00575
CDOECKAM_01399	K05877
CDOECKAM_01400	K05875
CDOECKAM_01401	K03408
CDOECKAM_01402	K03407
CDOECKAM_01403	K02557
CDOECKAM_01404	K02556
CDOECKAM_01405	K02402
CDOECKAM_01406	K02403
CDOECKAM_01407	K14064
CDOECKAM_01408	K00697
CDOECKAM_01409	K01087
CDOECKAM_01410	K10440
CDOECKAM_01411	K10539
CDOECKAM_01412	K10537
CDOECKAM_01413	K02217
CDOECKAM_01416	K02217
CDOECKAM_01418	K03834
CDOECKAM_01423	K00995
CDOECKAM_01424	K03703
CDOECKAM_01425	K07689
CDOECKAM_01427	K07782
CDOECKAM_01428	K02028
CDOECKAM_01429	K10009
CDOECKAM_01430	K05396
CDOECKAM_01431	K02424
CDOECKAM_01432	K02425
CDOECKAM_01433	K02405
CDOECKAM_01434	K02406
CDOECKAM_01435	K02407
CDOECKAM_01436	K02422
CDOECKAM_01437	K02423
CDOECKAM_01438	K01176
CDOECKAM_01441	K04085
CDOECKAM_01443	K16076
CDOECKAM_01445	K06910
CDOECKAM_01446	K03297
CDOECKAM_01447	K02408
CDOECKAM_01448	K02409
CDOECKAM_01449	K02410
CDOECKAM_01450	K02411
CDOECKAM_01451	K02412
CDOECKAM_01452	K02413
CDOECKAM_01453	K02414
CDOECKAM_01455	K02416
CDOECKAM_01456	K02417
CDOECKAM_01457	K02418
CDOECKAM_01458	K02419
CDOECKAM_01464	K07026
CDOECKAM_01465	K21085
CDOECKAM_01467	K09781
CDOECKAM_01469	K07458
CDOECKAM_01470	K00558
CDOECKAM_01472	K16076
CDOECKAM_01474	K02484
CDOECKAM_01475	K02483
CDOECKAM_01476	K07127
CDOECKAM_01477	K07147
CDOECKAM_01478	K17247
CDOECKAM_01483	K12810
CDOECKAM_01510	K04781
CDOECKAM_01512	K11085
CDOECKAM_01513	K14698
CDOECKAM_01514	K12243
CDOECKAM_01516	K12444
CDOECKAM_01519	K02363
CDOECKAM_01520	K15721
CDOECKAM_01526	K01241
CDOECKAM_01529	K09681
CDOECKAM_01530	K13635
CDOECKAM_01538	K12444
CDOECKAM_01539	K15654
CDOECKAM_01540	K18908
CDOECKAM_01543	K12444
CDOECKAM_01548	K00074
CDOECKAM_01549	K12444
CDOECKAM_01550	K13611
CDOECKAM_01556	K16291
CDOECKAM_01557	K00768
CDOECKAM_01558	K02233
CDOECKAM_01559	K02231
CDOECKAM_01560	K16089
CDOECKAM_01564	K01463
CDOECKAM_01565	K11936
CDOECKAM_01566	K04042
CDOECKAM_01569	K00852
CDOECKAM_01572	K07048
CDOECKAM_01583	K18838
CDOECKAM_01597	K02015
CDOECKAM_01598	K02013
CDOECKAM_01608	K05596
CDOECKAM_01609	K04567
CDOECKAM_01610	K07720
CDOECKAM_01611	K01582
CDOECKAM_01612	K03757
CDOECKAM_01615	K03595
CDOECKAM_01616	K12687
CDOECKAM_01622	K18838
CDOECKAM_01623	K18837
CDOECKAM_01629	K15974
CDOECKAM_01632	K08996
CDOECKAM_01633	K21968
CDOECKAM_01634	K21967
CDOECKAM_01635	K21966
CDOECKAM_01636	K21965
CDOECKAM_01637	K21964
CDOECKAM_01638	K21963
CDOECKAM_01639	K02919
CDOECKAM_01640	K02909
CDOECKAM_01649	K05804
CDOECKAM_01651	K21741
CDOECKAM_01652	K21739
CDOECKAM_01653	K21746
CDOECKAM_01654	K18928
CDOECKAM_01655	K18929
CDOECKAM_01656	K00782
CDOECKAM_01662	K04763
CDOECKAM_01664	K00108
CDOECKAM_01665	K00130
CDOECKAM_01666	K02167
CDOECKAM_01667	K02168
CDOECKAM_01668	K13244
CDOECKAM_01673	K01902
CDOECKAM_01675	K00926
CDOECKAM_01676	K08710
CDOECKAM_01677	K13979
CDOECKAM_01679	K05835
CDOECKAM_01680	K12151
CDOECKAM_01681	K02688
CDOECKAM_01682	K03417
CDOECKAM_01683	K01659
CDOECKAM_01684	K01720
CDOECKAM_01685	K01895
CDOECKAM_01686	K10974
CDOECKAM_01687	K01485
CDOECKAM_01693	K07391
CDOECKAM_01695	K11258
CDOECKAM_01696	K00826
CDOECKAM_01697	K01687
CDOECKAM_01698	K01754
CDOECKAM_01699	K09681
CDOECKAM_01700	K00053
CDOECKAM_01701	K03769
CDOECKAM_01702	K03656
CDOECKAM_01703	K01524
CDOECKAM_01704	K03732
CDOECKAM_01705	K03671
CDOECKAM_01706	K03628
CDOECKAM_01708	K02851
CDOECKAM_01709	K05790
CDOECKAM_01710	K01791
CDOECKAM_01711	K02472
CDOECKAM_01712	K01710
CDOECKAM_01713	K00973
CDOECKAM_01714	K16704
CDOECKAM_01715	K02805
CDOECKAM_01716	K16693
CDOECKAM_01717	K12582
CDOECKAM_01718	K02853
CDOECKAM_01719	K02852
CDOECKAM_01720	K03293
CDOECKAM_01725	K06871
CDOECKAM_01726	K01130
CDOECKAM_01728	K02496
CDOECKAM_01729	K01719
CDOECKAM_01730	K01749
CDOECKAM_01731	K05851
CDOECKAM_01735	K01778
CDOECKAM_01737	K03733
CDOECKAM_01738	K20862
CDOECKAM_01739	K03657
CDOECKAM_01740	K21153
CDOECKAM_01742	K03284
CDOECKAM_01747	K01058
CDOECKAM_01748	K03654
CDOECKAM_01749	K05835
CDOECKAM_01750	K05834
CDOECKAM_01751	K01048
CDOECKAM_01754	K03576
CDOECKAM_01755	K00549
CDOECKAM_01757	K11903
CDOECKAM_01758	K08094
CDOECKAM_01759	K20116
CDOECKAM_01759	K20117
CDOECKAM_01759	K20118
CDOECKAM_01760	K00615
CDOECKAM_01763	K10974
CDOECKAM_01764	K01457
CDOECKAM_01765	K00926
CDOECKAM_01767	K01902
CDOECKAM_01769	K09020
CDOECKAM_01772	K00757
CDOECKAM_01776	K01631
CDOECKAM_01777	K00883
CDOECKAM_01778	K19333
CDOECKAM_01780	K03183
CDOECKAM_01782	K03688
CDOECKAM_01783	K03116
CDOECKAM_01784	K03117
CDOECKAM_01785	K03118
CDOECKAM_01786	K03424
CDOECKAM_01787	K05785
CDOECKAM_01788	K03182
CDOECKAM_01789	K05368
CDOECKAM_01790	K00632
CDOECKAM_01791	K01825
CDOECKAM_01792	K01271
CDOECKAM_01794	K03498
CDOECKAM_01795	K00230
CDOECKAM_01796	K03695
CDOECKAM_01797	K05810
CDOECKAM_01798	K06180
CDOECKAM_01799	K05807
CDOECKAM_01800	K05809
CDOECKAM_01801	K14170
CDOECKAM_01802	K14187
CDOECKAM_01803	K01626
CDOECKAM_01806	K21021
CDOECKAM_01808	K02884
CDOECKAM_01809	K00554
CDOECKAM_01810	K02860
CDOECKAM_01811	K02959
CDOECKAM_01812	K03106
CDOECKAM_01816	K00858
CDOECKAM_01817	K03631
CDOECKAM_01818	K06186
CDOECKAM_01819	K09801
CDOECKAM_01821	K03664
CDOECKAM_01824	K15736
CDOECKAM_01825	K00135
CDOECKAM_01826	K07250
CDOECKAM_01827	K11735
CDOECKAM_01833	K11685
CDOECKAM_01837	K00375
CDOECKAM_01839	K06191
CDOECKAM_01840	K03647
CDOECKAM_01841	K00525
CDOECKAM_01842	K00526
CDOECKAM_01843	K02000
CDOECKAM_01844	K02001
CDOECKAM_01845	K02002
CDOECKAM_01849	K15974
CDOECKAM_01850	K03543
CDOECKAM_01851	K03446
CDOECKAM_01852	K07173
CDOECKAM_01853	K01919
CDOECKAM_01862	K03563
CDOECKAM_01863	K01872
CDOECKAM_01864	K03565
CDOECKAM_01866	K03743
CDOECKAM_01867	K08305
CDOECKAM_01868	K02783
CDOECKAM_01869	K02782
CDOECKAM_01869	K02783
CDOECKAM_01870	K02781
CDOECKAM_01871	K00068
CDOECKAM_01873	K02468
CDOECKAM_01874	K02467
CDOECKAM_01875	K12266
CDOECKAM_01876	K12264
CDOECKAM_01877	K12265
CDOECKAM_01878	K04656
CDOECKAM_01879	K12136
CDOECKAM_01880	K03487
CDOECKAM_01881	K02755
CDOECKAM_01881	K02756
CDOECKAM_01881	K02757
CDOECKAM_01882	K01223
CDOECKAM_01883	K18831
CDOECKAM_01885	K08315
CDOECKAM_01887	K15832
CDOECKAM_01888	K00338
CDOECKAM_01889	K15830
CDOECKAM_01890	K15829
CDOECKAM_01891	K12137
CDOECKAM_01892	K12136
CDOECKAM_01893	K15833
CDOECKAM_01895	K04652
CDOECKAM_01896	K04653
CDOECKAM_01897	K04654
CDOECKAM_01898	K04655
CDOECKAM_01899	K15836
CDOECKAM_01911	K03761
CDOECKAM_01913	K00998
CDOECKAM_01914	K22886
CDOECKAM_01916	K03672
CDOECKAM_01917	K03218
CDOECKAM_01918	K03648
CDOECKAM_01919	K06866
CDOECKAM_01920	K11249
CDOECKAM_01921	K21703
CDOECKAM_01922	K05590
CDOECKAM_01923	K15460
CDOECKAM_01924	K00278
CDOECKAM_01925	K03088
CDOECKAM_01926	K03597
CDOECKAM_01927	K03598
CDOECKAM_01929	K03596
CDOECKAM_01930	K03100
CDOECKAM_01931	K03685
CDOECKAM_01932	K03595
CDOECKAM_01933	K03584
CDOECKAM_01934	K03474
CDOECKAM_01935	K00997
CDOECKAM_01946	K02335
CDOECKAM_01991	K00008
CDOECKAM_01992	K10440
CDOECKAM_01993	K10542
CDOECKAM_01994	K02058
CDOECKAM_01996	K02565
CDOECKAM_01997	K00600
CDOECKAM_01998	K05916
CDOECKAM_01999	K04751
CDOECKAM_02000	K07715
CDOECKAM_02002	K07711
CDOECKAM_02003	K01952
CDOECKAM_02004	K18691
CDOECKAM_02005	K11991
CDOECKAM_02006	K18697
CDOECKAM_02007	K15835
CDOECKAM_02022	K04763
CDOECKAM_02027	K19164
CDOECKAM_02029	K04763
CDOECKAM_02035	K02346
CDOECKAM_02036	K01356
CDOECKAM_02044	K07319
CDOECKAM_02059	K03497
CDOECKAM_02103	K19188
CDOECKAM_02105	K01174
CDOECKAM_02106	K05839
CDOECKAM_02113	K00348
CDOECKAM_02114	K07243
CDOECKAM_02115	K07230
CDOECKAM_02117	K05685
CDOECKAM_02118	K05685
CDOECKAM_02119	K09810
CDOECKAM_02122	K01085
CDOECKAM_02123	K01085
CDOECKAM_02135	K07347
CDOECKAM_02136	K15540
CDOECKAM_02137	K07345
CDOECKAM_02138	K15977
CDOECKAM_02139	K16422
CDOECKAM_02155	K07147
CDOECKAM_02157	K07658
CDOECKAM_02158	K07651
CDOECKAM_02164	K00558
CDOECKAM_02170	K15125
CDOECKAM_02178	K01753
CDOECKAM_02179	K13629
CDOECKAM_02181	K03297
CDOECKAM_02182	K03297
CDOECKAM_02184	K13923
CDOECKAM_02186	K20037
CDOECKAM_02187	K20038
CDOECKAM_02188	K04072
CDOECKAM_02189	K08697
CDOECKAM_02190	K04072
CDOECKAM_02199	K14155
CDOECKAM_02200	K03315
CDOECKAM_02210	K00147
CDOECKAM_02211	K00931
CDOECKAM_02212	K11929
CDOECKAM_02213	K11926
CDOECKAM_02214	K19188
CDOECKAM_02215	K00769
CDOECKAM_02216	K01270
CDOECKAM_02217	K02835
CDOECKAM_02218	K14415
CDOECKAM_02219	K03830
CDOECKAM_02220	K19160
CDOECKAM_02221	K19161
CDOECKAM_02222	K02346
CDOECKAM_02223	K02557
CDOECKAM_02224	K02400
CDOECKAM_02225	K07491
CDOECKAM_02226	K19303
CDOECKAM_02229	K03271
CDOECKAM_02230	K06445
CDOECKAM_02232	K08590
CDOECKAM_02239	K11904
CDOECKAM_02241	K11903
CDOECKAM_02251	K03695
CDOECKAM_02256	K11903
CDOECKAM_02259	K02342
CDOECKAM_02260	K03469
CDOECKAM_02262	K01069
CDOECKAM_02263	K08307
CDOECKAM_02266	K16135
CDOECKAM_02267	K06222
CDOECKAM_02270	K02358
CDOECKAM_02271	K13381
CDOECKAM_02272	K02192
CDOECKAM_02273	K03594
CDOECKAM_02274	K02464
CDOECKAM_02275	K02462
CDOECKAM_02276	K02461
CDOECKAM_02277	K02460
CDOECKAM_02278	K02459
CDOECKAM_02279	K02458
CDOECKAM_02280	K02457
CDOECKAM_02281	K02456
CDOECKAM_02282	K02455
CDOECKAM_02283	K02454
CDOECKAM_02284	K02453
CDOECKAM_02285	K02452
CDOECKAM_02286	K02450
CDOECKAM_02287	K02451
CDOECKAM_02288	K02946
CDOECKAM_02289	K02906
CDOECKAM_02290	K02926
CDOECKAM_02291	K02892
CDOECKAM_02292	K02886
CDOECKAM_02293	K02965
CDOECKAM_02294	K02890
CDOECKAM_02295	K02982
CDOECKAM_02296	K02878
CDOECKAM_02297	K02904
CDOECKAM_02298	K02961
CDOECKAM_02299	K02874
CDOECKAM_02300	K02895
CDOECKAM_02301	K02931
CDOECKAM_02302	K02954
CDOECKAM_02303	K02994
CDOECKAM_02304	K02933
CDOECKAM_02305	K02881
CDOECKAM_02306	K02988
CDOECKAM_02307	K02907
CDOECKAM_02308	K02876
CDOECKAM_02310	K02919
CDOECKAM_02311	K02952
CDOECKAM_02312	K02948
CDOECKAM_02313	K02986
CDOECKAM_02314	K03040
CDOECKAM_02315	K02879
CDOECKAM_02317	K13638
CDOECKAM_02318	K09890
CDOECKAM_02319	K03282
CDOECKAM_02320	K03499
CDOECKAM_02321	K03500
CDOECKAM_02322	K00604
CDOECKAM_02323	K01462
CDOECKAM_02324	K04096
CDOECKAM_02326	K03168
CDOECKAM_02327	K07566
CDOECKAM_02328	K00014
CDOECKAM_02340	K19566
CDOECKAM_02341	K18894
CDOECKAM_02342	K07214
CDOECKAM_02343	K07017
CDOECKAM_02344	K19611
CDOECKAM_02345	K15974
CDOECKAM_02350	K07347
CDOECKAM_02353	K07345
CDOECKAM_02364	K01626
CDOECKAM_02366	K00602
CDOECKAM_02367	K01945
CDOECKAM_02368	K07713
CDOECKAM_02369	K07709
CDOECKAM_02370	K07803
CDOECKAM_02372	K05787
CDOECKAM_02374	K05982
CDOECKAM_02375	K01599
CDOECKAM_02376	K03426
CDOECKAM_02377	K07740
CDOECKAM_02378	K03147
CDOECKAM_02379	K00788
CDOECKAM_02380	K03148
CDOECKAM_02381	K03154
CDOECKAM_02382	K03149
CDOECKAM_02383	K03150
CDOECKAM_02384	K03046
CDOECKAM_02385	K03043
CDOECKAM_02386	K02935
CDOECKAM_02387	K02864
CDOECKAM_02388	K02863
CDOECKAM_02389	K02867
CDOECKAM_02390	K02601
CDOECKAM_02392	K02358
CDOECKAM_02393	K15977
CDOECKAM_02394	K05820
CDOECKAM_02395	K02538
CDOECKAM_02397	K01092
CDOECKAM_02398	K15396
CDOECKAM_02399	K13643
CDOECKAM_02400	K04487
CDOECKAM_02401	K04488
CDOECKAM_02402	K13628
CDOECKAM_02403	K04082
CDOECKAM_02404	K04044
CDOECKAM_02405	K04755
CDOECKAM_02407	K07751
CDOECKAM_02409	K01011
CDOECKAM_02410	K06894
CDOECKAM_02411	K05367
CDOECKAM_02412	K00940
CDOECKAM_02413	K06941
CDOECKAM_02414	K15539
CDOECKAM_02415	K03526
CDOECKAM_02416	K01892
CDOECKAM_02418	K17713
CDOECKAM_02419	K03977
CDOECKAM_02424	K03601
CDOECKAM_02425	K00088
CDOECKAM_02426	K01951
CDOECKAM_02432	K01524
CDOECKAM_02433	K00937
CDOECKAM_02434	K11175
CDOECKAM_02435	K01933
CDOECKAM_02436	K00761
CDOECKAM_02437	K02824
CDOECKAM_02438	K10763
CDOECKAM_02440	K01423
CDOECKAM_02442	K03564
CDOECKAM_02443	K03567
CDOECKAM_02444	K01714
CDOECKAM_02445	K07287
CDOECKAM_02447	K01923
CDOECKAM_02449	K06957
CDOECKAM_02452	K01439
CDOECKAM_02453	K16509
CDOECKAM_02454	K18138
CDOECKAM_02455	K07673
CDOECKAM_02456	K00266
CDOECKAM_02457	K12945
CDOECKAM_02459	K00615
CDOECKAM_02460	K00616
CDOECKAM_02461	K00029
CDOECKAM_02462	K04031
CDOECKAM_02463	K04029
CDOECKAM_02464	K04030
CDOECKAM_02466	K04020
CDOECKAM_02467	K04027
CDOECKAM_02468	K04028
CDOECKAM_02469	K04072
CDOECKAM_02470	K03590
CDOECKAM_02471	K00093
CDOECKAM_02474	K03735
CDOECKAM_02475	K03736
CDOECKAM_02476	K04026
CDOECKAM_02477	K04025
CDOECKAM_02479	K00228
CDOECKAM_02480	K01448
CDOECKAM_02484	K07223
CDOECKAM_02485	K11191
CDOECKAM_02485	K11192
CDOECKAM_02486	K07106
CDOECKAM_02487	K00059
CDOECKAM_02488	K02048
CDOECKAM_02489	K02046
CDOECKAM_02490	K02047
CDOECKAM_02491	K02045
CDOECKAM_02492	K12339
CDOECKAM_02494	K00868
CDOECKAM_02495	K02777
CDOECKAM_02496	K08483
CDOECKAM_02497	K02784
CDOECKAM_02498	K01738
CDOECKAM_02499	K06203
CDOECKAM_02500	K03528
CDOECKAM_02501	K01972
CDOECKAM_02504	K11921
CDOECKAM_02506	K03815
CDOECKAM_02507	K11537
CDOECKAM_02508	K05817
CDOECKAM_02512	K01885
CDOECKAM_02518	K11535
CDOECKAM_02519	K03322
CDOECKAM_02522	K00845
CDOECKAM_02523	K11202
CDOECKAM_02524	K11203
CDOECKAM_02525	K08326
CDOECKAM_02527	K08483
CDOECKAM_02528	K02854
CDOECKAM_02529	K02477
CDOECKAM_02530	K02478
CDOECKAM_02531	K14261
CDOECKAM_02532	K12974
CDOECKAM_02536	K07749
CDOECKAM_02537	K01577
CDOECKAM_02539	K18702
CDOECKAM_02540	K07679
CDOECKAM_02541	K07690
CDOECKAM_02542	K07797
CDOECKAM_02543	K07786
CDOECKAM_02544	K01753
CDOECKAM_02545	K13629
CDOECKAM_02547	K01193
CDOECKAM_02549	K02532
CDOECKAM_02551	K21990
CDOECKAM_02552	K04754
CDOECKAM_02553	K06076
CDOECKAM_02555	K00632
CDOECKAM_02556	K01782
CDOECKAM_02557	K08296
CDOECKAM_02566	K07320
CDOECKAM_02567	K01736
CDOECKAM_02568	K07261
CDOECKAM_02570	K09906
CDOECKAM_02572	K15461
CDOECKAM_02573	K00647
CDOECKAM_02576	K03473
CDOECKAM_02578	K06173
CDOECKAM_02579	K03975
CDOECKAM_02580	K01963
CDOECKAM_02581	K11754
CDOECKAM_02583	K03558
CDOECKAM_02584	K00764
CDOECKAM_02585	K03186
CDOECKAM_02586	K10013
CDOECKAM_02587	K10014
CDOECKAM_02588	K10016
CDOECKAM_02589	K10015
CDOECKAM_02590	K10017
CDOECKAM_02592	K07071
CDOECKAM_02593	K07589
CDOECKAM_02594	K11209
CDOECKAM_02595	K00799
CDOECKAM_02596	K07095
CDOECKAM_02599	K13788
CDOECKAM_02600	K00925
CDOECKAM_02603	K19270
CDOECKAM_02604	K14445
CDOECKAM_02605	K08722
CDOECKAM_02606	K14260
CDOECKAM_02607	K09681
CDOECKAM_02609	K05574
CDOECKAM_02610	K00331
CDOECKAM_02611	K13378
CDOECKAM_02612	K00334
CDOECKAM_02613	K00335
CDOECKAM_02614	K00336
CDOECKAM_02615	K00337
CDOECKAM_02616	K00338
CDOECKAM_02617	K00339
CDOECKAM_02618	K00340
CDOECKAM_02619	K00341
CDOECKAM_02620	K00342
CDOECKAM_02621	K00343
CDOECKAM_02624	K18015
CDOECKAM_02625	K00784
CDOECKAM_02628	K02552
CDOECKAM_02629	K02551
CDOECKAM_02630	K08680
CDOECKAM_02631	K01661
CDOECKAM_02632	K02549
CDOECKAM_02633	K01911
CDOECKAM_02634	K19238
CDOECKAM_02635	K12963
CDOECKAM_02636	K12962
CDOECKAM_02637	K07264
CDOECKAM_02638	K13014
CDOECKAM_02639	K10011
CDOECKAM_02640	K10012
CDOECKAM_02641	K07806
CDOECKAM_02643	K12944
CDOECKAM_02645	K03742
CDOECKAM_02647	K12661
CDOECKAM_02649	K12660
CDOECKAM_02652	K00113
CDOECKAM_02653	K00112
CDOECKAM_02654	K00111
CDOECKAM_02655	K02445
CDOECKAM_02656	K01126
CDOECKAM_02658	K00523
CDOECKAM_02659	K00526
CDOECKAM_02660	K00525
CDOECKAM_02662	K00568
CDOECKAM_02663	K02469
CDOECKAM_02670	K00626
CDOECKAM_02671	K02106
CDOECKAM_02672	K01035
CDOECKAM_02673	K01034
CDOECKAM_02674	K07713
CDOECKAM_02675	K07709
CDOECKAM_02676	K07677
CDOECKAM_02677	K07687
CDOECKAM_02678	K07676
CDOECKAM_02679	K09475
CDOECKAM_02680	K03734
CDOECKAM_02681	K10778
CDOECKAM_02682	K03919
CDOECKAM_02683	K06159
CDOECKAM_02684	K00116
CDOECKAM_02685	K08276
CDOECKAM_02689	K02567
CDOECKAM_02692	K02568
CDOECKAM_02693	K02569
CDOECKAM_02694	K02193
CDOECKAM_02695	K02194
CDOECKAM_02696	K02195
CDOECKAM_02697	K02196
CDOECKAM_02698	K02197
CDOECKAM_02699	K02198
CDOECKAM_02700	K02199
CDOECKAM_02701	K02200
CDOECKAM_02702	K07684
CDOECKAM_02707	K07014
CDOECKAM_02709	K06899
CDOECKAM_02710	K02897
CDOECKAM_02711	K19789
CDOECKAM_02712	K06183
CDOECKAM_02713	K07552
CDOECKAM_02715	K13892
CDOECKAM_02716	K13895
CDOECKAM_02717	K13894
CDOECKAM_02719	K21090
CDOECKAM_02720	K13694
CDOECKAM_02721	K19803
CDOECKAM_02724	K02356
CDOECKAM_02726	K03291
CDOECKAM_02727	K02768
CDOECKAM_02727	K11183
CDOECKAM_02729	K02769
CDOECKAM_02729	K02770
CDOECKAM_02730	K16328
CDOECKAM_02731	K16329
CDOECKAM_02732	K16324
CDOECKAM_02733	K16326
CDOECKAM_02734	K10213
CDOECKAM_02735	K16325
CDOECKAM_02736	K16328
CDOECKAM_02737	K01151
CDOECKAM_02739	K21900
CDOECKAM_02740	K11733
CDOECKAM_02741	K16089
CDOECKAM_02742	K01070
CDOECKAM_02743	K01495
CDOECKAM_02745	K02529
CDOECKAM_02746	K10540
CDOECKAM_02747	K10542
CDOECKAM_02748	K10541
CDOECKAM_02749	K17723
CDOECKAM_02750	K17722
CDOECKAM_02753	K01489
CDOECKAM_02756	K05541
CDOECKAM_02758	K00059
CDOECKAM_02761	K07262
CDOECKAM_02762	K03777
CDOECKAM_02764	K05845
CDOECKAM_02765	K05846
CDOECKAM_02766	K05847
CDOECKAM_02767	K05846
CDOECKAM_02769	K21089
CDOECKAM_02770	K02478
CDOECKAM_02771	K02477
CDOECKAM_02782	K01874
CDOECKAM_02783	K03593
CDOECKAM_02787	K07347
CDOECKAM_02790	K08970
CDOECKAM_02793	K00878
CDOECKAM_02794	K00941
CDOECKAM_02796	K03710
CDOECKAM_02797	K00874
CDOECKAM_02800	K11645
CDOECKAM_02801	K08302
CDOECKAM_02802	K16371
CDOECKAM_02803	K02773
CDOECKAM_02804	K02774
CDOECKAM_02805	K02775
CDOECKAM_02806	K00094
CDOECKAM_02807	K02468
CDOECKAM_02810	K08303
CDOECKAM_02816	K07664
CDOECKAM_02817	K07642
CDOECKAM_02818	K18326
CDOECKAM_02819	K07789
CDOECKAM_02820	K07788
CDOECKAM_02821	K07799
CDOECKAM_02826	K01247
CDOECKAM_02827	K21084
CDOECKAM_02828	K00876
CDOECKAM_02829	K01494
CDOECKAM_02831	K06189
CDOECKAM_02833	K01104
CDOECKAM_02834	K16692
CDOECKAM_02835	K21363
CDOECKAM_02836	K00640
CDOECKAM_02841	K01711
CDOECKAM_02842	K02377
CDOECKAM_02843	K03207
CDOECKAM_02844	K20573
CDOECKAM_02845	K00971
CDOECKAM_02846	K15778
CDOECKAM_02847	K03606
CDOECKAM_02848	K16695
CDOECKAM_02850	K00754
CDOECKAM_02852	K00963
CDOECKAM_02853	K18799
CDOECKAM_02855	K17250
CDOECKAM_02856	K16148
CDOECKAM_02858	K01784
CDOECKAM_02860	K00971
CDOECKAM_02861	K15778
CDOECKAM_02862	K00033
CDOECKAM_02863	K00012
CDOECKAM_02864	K05789
CDOECKAM_02865	K01496
CDOECKAM_02866	K02500
CDOECKAM_02867	K01814
CDOECKAM_02868	K02501
CDOECKAM_02869	K01089
CDOECKAM_02870	K00817
CDOECKAM_02871	K00013
CDOECKAM_02872	K00765
CDOECKAM_02873	K19159
CDOECKAM_02874	K19158
CDOECKAM_02878	K01141
CDOECKAM_02879	K07258
CDOECKAM_02880	K07470
CDOECKAM_02884	K18837
CDOECKAM_02890	K12687
CDOECKAM_02891	K03595
CDOECKAM_02898	K05839
CDOECKAM_02910	K16087
CDOECKAM_02922	K00867
CDOECKAM_02923	K03524
CDOECKAM_02924	K00075
CDOECKAM_02936	K02355
CDOECKAM_02937	K02992
CDOECKAM_02938	K02950
CDOECKAM_02940	K07236
CDOECKAM_02941	K07235
CDOECKAM_02942	K21829
CDOECKAM_02943	K03772
CDOECKAM_02945	K03775
CDOECKAM_02947	K11745
CDOECKAM_02948	K11745
CDOECKAM_02950	K06158
CDOECKAM_02953	K00855
CDOECKAM_02955	K10914
CDOECKAM_02957	K00821
CDOECKAM_02958	K01664
CDOECKAM_02959	K04095
CDOECKAM_02961	K03767
CDOECKAM_02963	K00362
CDOECKAM_02964	K00363
CDOECKAM_02965	K02598
CDOECKAM_02966	K02302
CDOECKAM_02971	K07048
CDOECKAM_02972	K01839
CDOECKAM_02976	K01867
CDOECKAM_02977	K01091
CDOECKAM_02978	K01783
CDOECKAM_02979	K06223
CDOECKAM_02980	K03112
CDOECKAM_02981	K01735
CDOECKAM_02982	K00891
CDOECKAM_02983	K02666
CDOECKAM_02988	K05366
CDOECKAM_02989	K08312
CDOECKAM_02991	K20881
CDOECKAM_02992	K04762
CDOECKAM_02993	K04083
CDOECKAM_02996	K01610
CDOECKAM_02997	K07638
CDOECKAM_02998	K07659
CDOECKAM_02999	K04760
CDOECKAM_03000	K02945
CDOECKAM_03001	K04758
CDOECKAM_03002	K04759
CDOECKAM_03003	K07490
CDOECKAM_03006	K02170
CDOECKAM_03008	K07400
CDOECKAM_03009	K06155
CDOECKAM_03010	K00705
CDOECKAM_03011	K00688
CDOECKAM_03012	K03556
CDOECKAM_03013	K01974
CDOECKAM_03014	K14415
CDOECKAM_03015	K07715
CDOECKAM_03016	K02444
CDOECKAM_03017	K02441
CDOECKAM_03018	K02439
CDOECKAM_03019	K00111
CDOECKAM_03024	K07356
CDOECKAM_03028	K07347
CDOECKAM_03029	K07346
CDOECKAM_03031	K00688
CDOECKAM_03032	K00703
CDOECKAM_03033	K00975
CDOECKAM_03034	K02438
CDOECKAM_03035	K00700
CDOECKAM_03036	K00133
CDOECKAM_03038	K04096
CDOECKAM_03039	K03654
CDOECKAM_03040	K06156
CDOECKAM_03041	K00851
CDOECKAM_03042	K06145
CDOECKAM_03043	K06911
CDOECKAM_03046	K11903
CDOECKAM_03049	K00681
CDOECKAM_03051	K01126
CDOECKAM_03052	K05816
CDOECKAM_03054	K05814
CDOECKAM_03055	K05813
CDOECKAM_03056	K01996
CDOECKAM_03057	K06861
CDOECKAM_03059	K01997
CDOECKAM_03060	K01999
CDOECKAM_03062	K01999
CDOECKAM_03063	K03089
CDOECKAM_03064	K09811
CDOECKAM_03065	K09812
CDOECKAM_03066	K03110
CDOECKAM_03067	K08316
CDOECKAM_03071	K01534
CDOECKAM_03072	K04085
CDOECKAM_03073	K09125
CDOECKAM_03076	K11744
CDOECKAM_03078	K15584
CDOECKAM_03079	K15585
CDOECKAM_03080	K15586
CDOECKAM_03081	K15587
CDOECKAM_03082	K10824
CDOECKAM_03083	K07722
CDOECKAM_03084	K01992
